,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,bodies bodies bodies,0,16,16,10
1,1,last night in soho,2,16,10,18
2,2,the munsters,0,9,11,16
3,3,orphan: first kill,11,3,17,14
4,4,resident evil: welcome to raccoon city,3,16,7,3
5,5,crimes of the future,2,16,7,97
6,6,men,2,11,17,51
7,7,morbius,3,2,17,9
8,8,day shift,3,1,11,44
9,9,malnazidos,3,2,11,44
10,10,watcher,2,16,16,87
11,11,orphan,12,10,16,4
12,12,midsommar,2,16,10,18
13,13,american psycho,11,3,17,14
14,14,old,2,16,10,18
15,15,scream,12,10,16,4
16,16,mad god,4,11,17,99
17,17,srpski film,12,10,16,4
18,18,get out,12,10,16,4
19,19,hellboy,3,2,11,44
20,20,the mist,12,6,16,34
21,21,overlord,3,16,7,3
22,22,fresh,0,16,16,10
23,23,hocus pocus 2,0,9,11,16
24,24,hereditary,2,16,10,18
25,25,spree,3,1,1,47
26,26,the mortal instruments: city of bones,3,2,11,44
27,27,resident evil,3,16,7,3
28,28,prey,3,3,17,9
29,29,it chapter two,2,11,17,51
30,30,the conjuring,12,10,16,4
31,31,scream 6,12,10,16,4
32,32,us,12,10,16,4
33,33,fear street: 1994,2,16,10,18
34,34,alien: covenant,12,6,16,34
35,35,the thing,12,10,7,11
36,36,the vvitch: a new-england folktale,2,11,17,51
37,37,annihilation,1,3,17,94
38,38,the deadly mantis,7,16,7,55
39,39,fear street: 1978,2,16,10,18
40,40,the shallows,3,3,17,9
41,41,beast,1,3,17,94
42,42,sinister,12,10,16,4
43,43,the cabin in the woods,12,10,16,4
44,44,a quiet place part ii,2,16,7,97
45,45,hocus pocus,0,9,11,16
46,46,the meg,3,16,7,3
47,47,the mummy,3,2,11,44
48,48,sweeney todd: the demon barber of fleet street,2,16,0,39
49,49,mother!,2,16,10,18
50,50,underwater,3,16,7,3
51,51,a quiet place,2,16,7,97
52,52,predator,3,2,17,9
53,53,the hunt,3,16,16,87
54,54,the lighthouse,2,11,17,51
55,55,lamb,2,11,17,51
56,56,firestarter,2,16,7,97
57,57,interview with the vampire: the vampire chronicles,2,11,17,51
58,58,resurrection,11,3,17,14
59,59,the empty man,12,10,16,4
60,60,suspiria,2,11,17,51
61,61,bone tomahawk,2,16,9,18
62,62,ready or not,3,1,17,98
63,63,from dusk till dawn,3,15,17,35
64,64,psycho,12,10,16,4
65,65,texas chainsaw massacre,11,16,16,60
66,66,de uskyldige,2,11,17,51
67,67,jeepers creepers: reborn,12,10,16,4
68,68,army of the dead,3,15,17,35
69,69,doctor sleep,2,11,17,51
70,70,brightburn,2,16,10,18
